idx,name,company_code,industry,size,year,established_date,ceo,debt_ratio,assets,sales_growth,current_ratio,quick_ratio,inventory_turnover,receivables_turnover,asset_turnover,fixed_asset_turnover,operating_cf,operating_cf_to_assets,operating_cf_to_debt,industry_avg_roe,industry_avg_roa,industry_avg_debt_ratio,roa,roic,division,employee_growth_rate,roe,operating_cf_to_sales,profit_growth,optl,ffoeq,oeneg,cfoint,accounts_payable_turnover,interest_coverage_ratio,noncurrent_asset_turnover,industry_avg_pd,pd,score,grade
16,삼화페인트공업(주),000390,제조업,중견기업,2021,1946-04-09,류기붕 / 배맹달,106.8442756,612097736.0,14.4796703,139.0417451,86.00502575,527.1349972,403.417138,104.7100074,229.0934115,-27003473.0,-4.411627655,-8.540653407,-82.76486438,2.859484577,296.1260635,-0.396288184,0.187945353,상장,2.58,-0.824725586,-4.275367434,-94.51641076,0.260507031,-9.125199268,0,-554.6081807,5.001860642,1.054817611,214.5719006,4.5,3.92,443,B
16,삼화페인트공업(주),000390,제조업,중견기업,2022,1946-04-09,류기붕 / 배맹달,95.9083681,587186274.0,2.285227383,127.8935497,82.32240031,491.0563546,404.9648993,107.7375378,242.2904464,32223298.0,5.487747147,11.20961194,6.700285441,3.030629599,292.8512353,0.936337793,2.60974223,상장,-1.49,1.846075714,4.987821395,2310.508462,6.906805506,10.75095588,0,506.1570324,5.6866484360000005,3.772949131,215.2812051,4.39,0.39,731,A
16,삼화페인트공업(주),000390,제조업,중견기업,2023,1946-04-09,류기붕 / 배맹달,91.10393569,590613614.0,-2.268848155,139.2029183,93.05059632,502.5116387,397.6495954,107.2137776,246.971095,43574446.0,7.377826208,15.47607811,13.13683595,2.817590129,148.4047922,2.73118154,4.971965059,상장,4.3,5.299375116,6.901440738,30.08069649,9.172728273,14.09931625,0,551.5214401,5.930942384,3.756944734,215.0156224,3.7,0.32,755,A
2490,현대에이치티(주),039010,제조업,중소기업,2021,1998-04-25,이건구,22.97226521,114361714.0,-7.479240621,284.5522683,228.5263119,972.6925772,489.8060384,86.17643545,915.5195475,-6905566.0,-6.038354759,-32.32376764,-82.76486438,2.859484577,296.1260635,7.903785877,,상장,11.41,10.0888763,-7.198665271,-43.76045213,22.70835899,-7.425501629,0,-69619.57859,5.419218006,551.6831334,179.4878482,4.5,1.76,545,B
2490,현대에이치티(주),039010,제조업,중견기업,2022,1998-04-25,이건구,29.05047131,117370650.0,9.39640183,201.1962541,157.4445322,958.1772302,432.4910913,90.5719341,779.5286367,8657062.0,7.375832033,32.76554759,6.700285441,3.030629599,292.8512353,1.698693839,,상장,-2.93,2.167758956,8.249358728,-73.62161705,4.843486871,9.518546001,0,47823.78743,5.691880253000001,113.7658822,174.604928,4.39,0.18,827,A
2490,현대에이치티(주),039010,제조업,중견기업,2023,1998-04-25,이건구,42.39578663,125084111.0,25.22739985,184.0415022,149.8836914,1168.465792,471.1821181,108.4049168,950.0263429,4308902.0,3.444803633,11.57014803,13.13683595,2.817590129,148.4047922,-1.010469667,,상장,0.0,-1.413863195,3.278815015,-164.0608138,-2.201283481,4.90525527,0,20388.48301,5.314512959,6.685956278999999,214.7684888,3.7,1.83,539,B
2493,(주)이오테크닉스,039030,제조업,중견기업,2021,1993-12-30,성규동 / 박종구,16.76322896,566044583.0,20.21875435,459.578278,270.3421592,207.3257671,392.4970361,74.64859762,302.3134299,1562854.0,0.276100867,1.923163416,-82.76486438,2.859484577,296.1260635,12.78164003,12.25397276,상장,6.74,16.17489612,0.39984988,103.0286194,96.15036669,0.322384287,0,942.8243939,8.781892711000001,489.7283592,199.0816369,4.5,0.18,828,A
2493,(주)이오테크닉스,039030,제조업,중견기업,2022,1993-12-30,성규동 / 박종구,14.23683901,615867392.0,14.40346227,556.2043955,334.0845521,190.8056784,419.1185467,75.66681774,365.6928457,92745130.0,15.05926945,120.8360464,6.700285441,3.030629599,292.8512353,12.54219642,12.89832192,상장,8.47,15.08813825,20.74103897,18.76504533,120.9058171,17.20323339,0,28133.82698,10.62296788,289.9469691,230.8206581,4.39,0.14,860,A
2493,(주)이오테크닉스,039030,제조업,중견기업,2023,1993-12-30,성규동 / 박종구,8.75076031,611678998.0,-29.24552192,913.0681553,613.273772,156.0083767,328.1017719,51.54738291,294.8892799,31583431.0,5.16339961,64.16855366,13.13683595,2.817590129,148.4047922,5.949730679,3.591622101,상장,-1.99,6.607500119,9.98262526,-69.46642485,57.56816752,5.615236325,0,9079.272875,12.13649554,90.31646654,168.9762323,3.7,0.15,853,A
2507,(주)하나투어,039130,"사업시설 관리, 사업 지원 및 임대 서비스업",중견기업,2021,1993-10-25,송미선,645.5409605,430595585.0,-63.25847496,96.33973179,86.28364756,0.0,181.3450626,7.101124701,272.465355,-107289706.0,-24.91658292,-28.77638189,808.3384886,2.920268952,45132.76859,-16.36019097,-39.3757661,상장,-46.99,-76.96095984,-266.503439,10.81846368,-34.14164129,-185.7633321,0,-1398.997319,0.0,-11.44948868,10.60373472,11.54,42.15,88,C
